Date,Open,High,Low,Close,Adj Close,Volume
2023-06-29,338.410004,341.390015,338.109985,341.160004,339.117859,2902700
2023-06-30,343.220001,344.579987,342.760010,343.850006,341.791718,3025000
2023-07-03,343.000000,344.529999,342.779999,344.070007,342.010406,1698400
2023-07-05,342.380005,343.739990,342.250000,342.809998,340.757965,2717000
2023-07-06,340.239990,340.869995,337.700012,339.230011,337.199402,3742400
2023-07-07,337.970001,340.399994,337.190002,337.429993,335.410156,2849600
2023-07-10,337.399994,339.649994,337.170013,339.579987,337.547272,2560200
2023-07-11,340.739990,342.920013,339.950012,342.640015,340.588989,2483200
2023-07-12,344.910004,345.899994,343.149994,343.630005,341.573090,4140200
2023-07-13,344.339996,344.880005,343.700012,343.920013,341.861328,2472300
2023-07-14,345.709991,345.920013,344.510010,345.170013,343.103821,3292300
2023-07-17,344.559998,346.700012,344.220001,345.850006,343.779755,2860000
2023-07-18,345.649994,349.910004,345.250000,349.579987,347.487427,4626600
2023-07-19,350.399994,352.450012,350.399994,350.690002,348.590790,5864300
2023-07-20,351.450012,353.890015,351.350006,352.429993,350.320374,4561300
2023-07-21,352.809998,353.320007,351.709991,352.140015,350.298492,2969000
2023-07-24,352.709991,354.570007,352.529999,354.070007,352.218414,3073700
2023-07-25,353.799988,355.179993,353.549988,354.320007,352.467072,2548700
2023-07-26,353.140015,356.279999,353.119995,355.250000,353.392212,3084700
2023-07-27,355.859985,356.359985,352.040009,352.769989,350.925171,4771000
2023-07-28,354.510010,355.549988,353.429993,354.480011,352.626251,3219000
2023-07-31,354.570007,355.600006,354.190002,355.570007,353.710571,2201400
2023-08-01,355.269989,356.700012,355.140015,356.200012,354.337250,2581900
2023-08-02,354.480011,355.200012,352.109985,352.739990,350.895325,5061000
2023-08-03,351.600006,353.390015,351.119995,351.989990,350.149292,3307000
2023-08-04,353.119995,354.959991,350.200012,350.649994,348.816254,4268300
2023-08-07,352.040009,354.869995,351.880005,354.619995,352.765503,2390800
2023-08-08,352.420013,353.350006,349.920013,353.019989,351.173889,3033600
2023-08-09,352.869995,353.679993,350.540009,351.279999,349.442993,2873300
2023-08-10,353.149994,355.920013,351.190002,351.890015,350.049805,4133500
2023-08-11,351.190002,353.720001,350.609985,353.000000,351.153992,2601900
2023-08-14,352.730011,353.500000,351.769989,353.209991,351.362885,3134100
2023-08-15,351.670013,352.019989,349.179993,349.609985,347.781677,2818700
2023-08-16,349.299988,351.519989,347.709991,347.769989,345.951324,3586800
2023-08-17,348.950012,349.320007,344.820007,345.059998,343.255524,4804100
2023-08-18,342.950012,345.910004,342.679993,345.119995,343.823364,3524900
2023-08-21,345.299988,345.720001,342.489990,344.670013,343.375061,3176500
2023-08-22,344.790009,345.140015,342.570007,342.959991,341.671478,2817000
2023-08-23,343.529999,345.399994,343.250000,344.829987,343.534454,2605400
2023-08-24,344.320007,346.970001,340.970001,341.029999,339.748749,3840800
2023-08-25,342.459991,344.549988,340.350006,343.500000,342.209442,3868500
2023-08-28,345.209991,346.670013,344.500000,345.709991,344.411133,2382700
2023-08-29,345.559998,348.750000,345.399994,348.619995,347.310242,3107700
2023-08-30,349.100006,350.730011,348.519989,349.399994,348.087280,2792900
2023-08-31,350.920013,351.279999,347.739990,347.809998,346.503265,2901400
2023-09-01,349.929993,350.359985,347.750000,348.980011,347.668884,2531700
2023-09-05,349.079987,349.279999,346.899994,346.980011,345.676422,1906900
2023-09-06,346.450012,346.510010,343.459991,345.000000,343.703827,2748400
2023-09-07,344.459991,346.239990,344.350006,345.690002,344.391235,2378600
2023-09-08,345.769989,347.040009,345.480011,346.510010,345.208160,1665900
2023-09-11,348.019989,348.589996,346.510010,347.369995,346.064911,1722900
2023-09-12,346.640015,349.299988,346.359985,347.209991,345.905518,1813800
2023-09-13,347.559998,348.510010,345.820007,346.549988,345.247986,2025200
2023-09-14,348.660004,350.630005,347.730011,349.940002,348.625275,3489400
2023-09-15,348.260010,348.850006,345.600006,346.140015,345.751526,3580800
2023-09-18,346.279999,347.130005,345.309998,346.149994,345.761505,2122800
2023-09-19,345.470001,345.809998,342.980011,345.070007,344.682709,2740900
2023-09-20,346.040009,347.660004,344.200012,344.320007,343.933563,3411400
2023-09-21,343.170013,343.649994,340.470001,340.579987,340.197723,3483700
2023-09-22,340.690002,341.429993,339.320007,339.579987,339.198853,3376400
2023-09-25,338.730011,340.070007,337.690002,339.980011,339.598419,3104700
2023-09-26,337.869995,338.739990,335.549988,336.040009,335.662842,4657300
2023-09-27,336.880005,337.149994,332.929993,335.429993,335.053528,4442200
2023-09-28,335.320007,337.670013,334.570007,336.619995,336.242188,4053600
2023-09-29,338.779999,338.829987,333.910004,334.950012,334.574066,3785800
2023-10-02,334.290009,335.019989,332.079987,334.089996,333.715027,4192600
2023-10-03,332.839996,333.880005,329.040009,329.980011,329.609650,4871100
2023-10-04,330.130005,331.459991,328.609985,330.989990,330.618500,4877100
2023-10-05,330.820007,331.750000,329.390015,331.170013,330.798309,3172200
2023-10-06,330.350006,335.640015,328.480011,334.100006,333.725037,4488200
2023-10-09,332.950012,336.380005,332.589996,336.089996,335.712799,3756300
2023-10-10,337.200012,339.010010,336.029999,337.450012,337.071259,3769400
2023-10-11,338.190002,338.839996,336.160004,338.029999,337.650604,2773900
2023-10-12,338.769989,338.769989,334.570007,336.269989,335.892578,3315000
2023-10-13,337.480011,339.609985,335.519989,336.679993,336.302124,5154600
2023-10-16,338.769989,340.910004,338.410004,339.890015,339.508545,3969300
2023-10-17,338.329987,341.519989,338.269989,339.989990,339.608398,3777800
2023-10-18,339.739990,339.970001,336.000000,336.630005,336.252197,4141200
2023-10-19,336.690002,338.619995,333.760010,334.119995,333.744995,5201800
2023-10-20,333.380005,334.230011,331.130005,331.190002,331.190002,3959000
2023-10-23,329.899994,332.329987,328.880005,329.320007,329.320007,3898300
2023-10-24,331.000000,332.700012,329.850006,331.440002,331.440002,3583900
2023-10-25,332.220001,332.690002,329.829987,330.350006,330.350006,3814200
2023-10-26,330.160004,331.010010,327.359985,328.040009,328.040009,3132968
