Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,2985.000000,3204.949951,2985.000000,3180.500000,3180.500000,304472
2023-01-06,3220.000000,3317.000000,3210.000000,3237.000000,3237.000000,262102
2023-01-09,3250.000000,3300.000000,3160.750000,3273.000000,3273.000000,255496
2023-01-10,3265.000000,3295.000000,3200.000000,3244.000000,3244.000000,113495
2023-01-11,3251.000000,3330.000000,3214.600098,3315.000000,3315.000000,178146
2023-01-12,3308.100098,3639.899902,3308.000000,3605.000000,3605.000000,381762
2023-01-13,3558.000000,3928.000000,3507.000000,3870.000000,3870.000000,375449
2023-01-16,3880.000000,4074.000000,3880.000000,4028.000000,4028.000000,215082
2023-01-17,4008.500000,4375.350098,4000.000000,4350.049805,4350.049805,396572
2023-01-18,4450.000000,4600.000000,3980.000000,4016.000000,4016.000000,584143
2023-01-19,3975.000000,4018.000000,3760.000000,4010.000000,4010.000000,601731
2023-01-20,4102.000000,4380.500000,4102.000000,4285.000000,4285.000000,395674
2023-01-23,4350.000000,4600.049805,4289.649902,4366.000000,4366.000000,525204
2023-01-24,4401.000000,4420.000000,4200.000000,4374.000000,4374.000000,293716
2023-01-25,4329.500000,4437.000000,4190.000000,4409.000000,4409.000000,304162
2023-01-26,4430.000000,4490.000000,4336.000000,4416.000000,4416.000000,210527
2023-01-27,4490.000000,4490.000000,4270.000000,4283.000000,4283.000000,259657
2023-01-30,4258.000000,4327.649902,4058.000000,4146.950195,4146.950195,186195
2023-01-31,4212.000000,4415.000000,4136.000000,4394.000000,4394.000000,313057
2023-02-01,4400.000000,4480.000000,4136.049805,4287.000000,4287.000000,275316
2023-02-02,4350.000000,4387.000000,4119.600098,4130.000000,4130.000000,221278
2023-02-03,4251.000000,4320.000000,4115.000000,4119.000000,4119.000000,201765
2023-02-06,4150.000000,4200.000000,4021.350098,4165.000000,4165.000000,141240
2023-02-07,4210.000000,4340.000000,4175.000000,4235.000000,4235.000000,168949
2023-02-08,4250.000000,4369.950195,4155.000000,4250.000000,4250.000000,159283
2023-02-09,4240.000000,4299.000000,4147.000000,4182.500000,4182.500000,147422
2023-02-10,4196.350098,4356.000000,4196.000000,4283.000000,4283.000000,167574
2023-02-13,4321.000000,4604.750000,4250.000000,4503.049805,4503.049805,318156
2023-02-14,4500.000000,4580.000000,4390.000000,4496.950195,4496.950195,210856
2023-02-15,4488.000000,4529.000000,4290.000000,4420.000000,4420.000000,213728
2023-02-16,4448.000000,4650.000000,4380.049805,4415.000000,4415.000000,308589
2023-02-17,4409.000000,4409.000000,4120.000000,4205.000000,4205.000000,345989
2023-02-22,4284.000000,4284.000000,4141.000000,4170.200195,4170.200195,194208
2023-02-23,4227.000000,4329.000000,4226.000000,4324.000000,4324.000000,177644
2023-02-24,4309.000000,4380.000000,4210.000000,4351.000000,4351.000000,140411
2023-02-27,4400.000000,4485.000000,4365.000000,4465.000000,4465.000000,164366
2023-02-28,4461.000000,4519.950195,4270.000000,4358.500000,4358.500000,173134
2023-03-01,4395.000000,4454.000000,4265.799805,4438.000000,4438.000000,216235
